"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
"191","Nauru","114000000","103469824","8999.0527","12.6680"
"192","Tuvalu","55000000","36697185","4862.0934","11.3120"
"193","Bermuda","0","6127341000","95465.2406","64.1840"
"194","British Virgin Islands","0","971237110","31024.9835","31.3050"
"195","Cayman Islands","0","3844080626","55949.7078","68.7060"
"196","Cook Islands","0","290194195","17059.2085","17.0110"
"197","Cuba","0","89688700000","7999.2126","11212.1910"
"198","French Polynesia","0","5417934152","17689.5385","306.2790"
"199","Palestine","0","13397100000","2551.7936","5250.0720"
"200","Greenland","0","2282927882","40430.1329","56.4660"
"201","North Korea","0","16788601831","643.9961","26069.4160"
"202","Kosovo","0","6714465857","4045.5560","1659.7140"
"203","Liechtenstein","0","6193677543","157491.7371","39.3270"
"204","Monaco","0","6468000877","177356.1347","36.4690"
"205","Montserrat","0","62051375","14134.7096","4.3900"
"206","Curacao","0","3121449966","16328.7350","191.1630"
"207","Sint Maarten","0","1072067039","24268.6370","44.1750"
"208","New Caledonia","0","9445714851","32577.0473","289.9500"
"209","Anguilla","0","337520470","21285.2664","15.8570"
"210","Sudan","0","82887395895","1768.2945","46874.2040"
"211","Syria","0","22163075121","1001.7096","22125.2490"
"212","Turks and Caicos Islands","0","917550492","20076.3734","45.7030"
